ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,68-69°F,88287731330961809418983677206822943875734832387743183121714132869896674367699,0.52,25,0.59,20,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,70-71°F,105230631884876537512511667582713373232301192212428219096679369434844982817820,,,0.001,880.5,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,72-73°F,53740710982800244793266052632639800003571181466663591588388529284481164023290,,,0.001,380,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,74-75°F,48786547593496751966866206169913143615942644741386502538423080246707864961997,,,0.001,380,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,76-77°F,92297860956196962317262179599821303647436196058294158477780160914244913907392,,,0.001,392,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,78-79°F,73316335287552685449247682767604033161341058257082078246398688334263898596575,,,0.001,490,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,80-81°F,58613677302997837339508713967003030647631891916987231172588157808969538259023,,,0.001,380,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,82°F or higher,1140591104391940370568492202876078212938430297068060236959309186698042865069,,,0.001,380,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,63°F or below,77853596037777749479774029565206824007126519204059118315626005853182687428270,0.001,255,0.019,40,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,64-65°F,85733415134953150388938962945733593272830555272447443343760689574177417474359,,,0.03,38.46,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,66-67°F,42028106449078471770441255436181544205033191443393390579344859426011819812191,,,0.09,10.98,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,68-69°F,91036086938282292615147032821603303929538748833610033304261064198820008731555,,,0.08,8.32,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,70-71°F,18158215624884496674858280635794673613810941962293817401572864308277661232470,0.08,86.17,0.34,95.75,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,72-73°F,4652722766101175034128022203559732860022507275165850371099186875776320307572,0.25,75.04,0.28,43,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,74-75°F,62930045442357077799708216002474726030676342023953455458909476031153115664177,,,0.45,118.9,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,76-77°F,95120981243857238788094696511673027560790240505219005939315807555489028989715,0.1,20,0.17,9,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,78-79°F,50988524441916533641514540454346127502552119137145942456072643469286700052030,,,0.04,18.73,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,80-81°F,107602488743778527777718504410990932697930343141526801931167780115241792639683,,,0.03,31.22,2026-09-03T06:01:05.359220+00:00
New york,lowest,J+1,2026-09-04,lowest-temperature-in-nyc-on-september-4-2026,82°F or higher,92457065271397869470849480956047059564009226071710359566056040491338073156771,,,0.02,30.9,2026-09-03T06:01:05.359220+00:00
